Type,#,Name,Shipbuilder,Hull #,Light Displacement Tons,FY,Contract Award,Keel Laid,Keel Laid Fixed?,Launched,Delivered,Disposition
DD,427,Hilary P. Jones,Charleston NSY,,"2,103",1938,,16-May-38,5/16/38,12/14/39,9/7/40,"To Taiwan 1954 as Han Yan (DD 15), scrapped 1974"
DD,415,O'Brien,Boston NSY,,"2,313",1937,,31-May-38,5/31/38,10/20/39,3/2/40,Torpedoed and sunk in Pacific 1942
DD,416,Walke,Boston NSY,,"2,313",1937,,31-May-38,5/31/38,10/20/39,4/27/40,Sunk by surface ships off Guadalcanal 1942
DD,417,Morris,Norfolk NSY,,"2,313",1937,,7-Jun-38,6/7/38,6/1/39,3/5/40,Scrapped 1947
DD,419,Wainwright,Norfolk NSY,,"2,313",1937,,7-Jun-38,6/7/38,6/1/39,4/15/40,Sunk as target 1948
BB,56,Washington,Philadelphia NSY,,"45,370",1937,24-Jun-37,14-Jun-38,6/14/38,6/1/40,7/31/41,Scrapped 1961
SS,195,Sealion,Electric Boat,34,"2,350",1937,,20-Jun-38,6/20/38,5/25/39,11/27/39,Scuttled at Cavite 1941
DD,424,Niblack,Bath Iron Works,178,"2,395",1938,,8-Aug-38,8/8/38,5/18/40,8/1/40,Scrapped 1973
SS,196,Searaven,Portsmouth NSY,,"2,350",1937,,9-Aug-38,8/9/38,6/21/39,10/2/39,Sunk as target 1948
DD,425,Madison,Boston NSY,,"2,103",1938,,19-Sep-38,9/19/38,10/20/39,8/6/40,Sunk as target 1969
DD,426,Lansdale,Boston NSY,,"2,103",1938,,19-Sep-38,9/19/38,10/30/39,9/17/40,Sunk by aircraft off Algeria 1944
SS,197,Seawolf,Portsmouth NSY,,"2,350",1937,,27-Sep-38,9/27/38,8/15/39,12/1/39,Sunk by friendly fire off Morotai 1944
SS,198,Tambor,Electric Boat,35,,1938,,16-Jan-39,1/16/39,12/20/39,6/3/40,Scrapped 1960
DD,431,Plunket,Federal Shipbuilding,160,"2,395",1938,,1-Mar-39,3/1/39,3/9/40,7/17/40,"To Taiwan as Nan Yang 1959, struck 1975"
DD,432,Kearny,Federal Shipbuilding,161,"2,395",1938,,1-Mar-39,3/1/39,3/9/40,9/13/40,Scrapped 1972
SS,199,Tautog,Electric Boat,36,,1938,,1-Mar-39,3/1/39,1/27/40,7/3/40,Scrapped 1960
DD,429,Livermore,Bath Iron Works,180,"2,395",1938,,6-Mar-39,3/6/39,8/3/40,10/7/40,Scrapped 1961
DD,430,Eberle,Bath Iron Works,181,"2,395",1938,,12-Apr-39,4/12/39,9/14/40,12/4/40,"To Greece as Niki (D 65) 1951, struck 1972"
SS,200,Thresher,Electric Boat,37,,1938,,27-Apr-39,4/27/39,3/27/40,8/21/40,Scrapped 1948
DD,433,Gwin,Boston NSY,,"2,395",1938,,1-Jun-39,6/1/39,5/25/40,1/15/41,Sunk by Japanese gunfire off Kolombangara 1943
DD,434,Meredith,Boston NSY,,"2,395",1938,,1-Jun-39,6/1/39,4/24/40,3/1/41,Sunk by Japanese aircraft in the Solomon Islands 1942
SS,204,Mackerel,Electric Boat,38,,1939,,6-Jun-39,6/6/39,9/28/40,3/31/41,Scrapped 1947
SS,189,Saury,Electric Boat,30,"2,350",1937,,28-Jun-39,6/28/39,8/20/38,4/3/39,Scrapped 1947
BB,57,South Dakota,New York Shipbuilding,421,"46,200",1939,15-Dec-38,5-Jul-39,7/5/39,6/7/41,3/20/42,Scrapped 1962
SS,201,Triton,Portsmouth NSY,,,1938,,5-Jul-39,7/5/39,3/25/40,8/15/40,Sunk by Japanese destroyers 1943
DD,436,Monssen,Puget Sound NSY,,"2,395",1938,,12-Jul-39,7/12/39,5/16/40,3/14/41,Sunk by Japanese gunfire off Guadalcanal 1942
DD,435,Grayson,Charleston NSY,,"2,395",1938,,17-Jul-39,7/17/39,8/7/40,2/14/41,Scrapped 1972
SS,203,Tuna,Mare Island NSY,,,1938,,19-Jul-39,7/19/39,10/2/40,1/2/41,Sunk as target 1948
BB,58,Indiana,Newport News Shipbuilding,378,"44,374",1939,15-Dec-38,20-Nov-39,11/20/39,11/21/41,4/30/42,Scrapped 1964
SS,202,Trout,Portsmouth NSY,,,1938,,28-Aug-39,8/28/39,5/21/40,11/15/40,Presumed sunk 1944
CV,8,Hornet,Newport News Shipbuilding,385,"19,900",,30-Mar-39,29-Sep-39,9/29/39,12/14/40,10/20/41,"Damaged at Santa Cruz, scuttled by Japanese 1942"
DD,437,Woolsey,Bath Iron Works,182,"2,395",1939,,9-Oct-39,10/9/39,2/12/41,5/7/41,Scrapped 1974
DD,441,Wilkes,Boston NSY,,"2,395",1939,,1-Nov-39,11/1/39,5/31/40,4/22/41,Scrapped 1972
DD,442,Nicholson,Boston NSY,,"2,395",1939,,1-Nov-39,11/1/39,5/31/40,6/3/41,"To Italy as Aviere (D 554) 1951, sunk as target 1977"
DD,443,Swanson,Charleston NSY,,"2,395",1939,,15-Nov-39,11/15/39,11/2/40,5/29/41,Scrapped 1972
DD,444,Ingraham,Charleston NSY,,"2,395",1939,,15-Nov-39,11/15/39,2/15/41,7/17/41,Sunk in collision off Nova Scotia 1942
BB,59,Massachusetts,Bethlehem Quincy,1478,"45,216",1939,15-Dec-38,20-Jul-39,7/20/39,9/23/41,5/12/42,To Fall River MA as memorial 1962
SS,211,Gudgeon,Mare Island NSY,,,1939,,22-Nov-39,11/22/39,1/25/41,4/21/41,Presumed sunk 1944
SS,209,Grayling,Portsmouth NSY,,,1939,,15-Dec-39,12/15/39,9/4/40,3/1/41,Sunk in the Philippines 1943
DD,438,Ludlow,Bath Iron Works,183,"2,395",1939,,18-Dec-39,12/18/39,11/11/40,3/5/41,"To Greece as Doxa (D 20) 1951, scrapped 1972"
SS,206,Gar,Electric Boat,39,,1939,,27-Dec-39,12/27/39,11/7/40,4/14/41,Scrapped 1960
BB,60,Alabama,Norfolk NSY,,"44,374",1939,1-Apr-39,2-Jan-40,1/2/40,2/16/42,11/10/42,To Mobile AL as memorial 1964
SS,207,Grampus,Electric Boat,40,,1939,,14-Feb-40,2/14/40,12/23/40,5/23/41,Sunk by Japanese destroyers in Blackett Strait 1943
DD,439,Edison,Federal Shipbuilding,170,"2,395",1939,,18-Mar-40,3/18/40,11/23/40,1/31/41,Scrapped 1966
DD,440,Ericsson,Federal Shipbuilding,171,"2,395",1939,,18-Mar-40,3/18/40,11/23/40,3/13/41,Sunk as target 1970
CL,47,Boise,Newport News Shipbuilding,361,"9,700",,,,,12/3/36,8/12/38,"To Argentina 1951 as 9 de Julio (C ?), scrapped 1981"
SS,210,Grenadier,Portsmouth NSY,,,1939,,1-Apr-40,4/1/40,11/29/40,5/1/41,Bombed in the Indian Ocean and scuttled 1943
SS,208,Grayback,Electric Boat,41,,1939,,3-Apr-40,4/3/40,1/31/41,6/30/41,Sunk by Japanese aircraft and gunfire in the East China Sea 1944
CL,48,Honolulu,New York NSY,,"9,650",,,9-Dec-35,12/9/35,8/26/37,9/7/38,Scrapped 1959
CL,49,St. Louis,Newport News Shipbuilding,362,"10,000",,,10-Dec-36,12/10/36,4/15/38,5/19/39,"To Brazil 1951 as Tamandere (C 12), foundered 1980 off South Africa"
SS,205,Marlin,Portsmouth NSY,,,1939,,23-May-40,5/23/40,1/29/41,8/1/41,Scrapped 1946
CL,50,Helena,New York NSY,,"10,000",,,9-Dec-36,12/9/36,8/27/39,9/18/39,Sunk by Japanese gunfire in the Solomon Islands 1943
BB,61,Iowa,New York NSY,,"57,271",1940,1-Jul-39,27-Jun-40,6/27/40,8/27/42,3/28/43,To San Pedro CA as memorial 2012
CL,51,Atlanta,Federal Shipbuilding,168,"6,000",,25-Apr-39,22-Apr-40,4/22/40,9/6/41,12/24/41,Sunk by gunfire off Guadalcanal 1942
CL,52,Juneau,Federal Shipbuilding,169,"6,000",,25-Apr-39,27-May-40,5/27/40,10/25/41,2/14/42,Torpedoed and lost off Guadalcanal 1942
BB,62,New Jersey,Philadelphia NSY,,"57,271",1940,1-Jul-39,16-Sep-40,9/16/40,12/7/42,6/30/43,To Camden NJ as memorial 1999
CL,53,San Diego,Bethlehem Quincy,1479,"6,000",,25-Apr-39,27-Mar-40,3/27/40,7/26/41,1/10/42,Scrapped 1960
CL,54,San Juan,Bethlehem Quincy,1480,"6,000",,25-Apr-39,15-May-40,5/15/40,9/6/41,2/28/42,Scrapped 1961
CL,55,Cleveland,New York Shipbuilding,423,"10,000",,23-Mar-40,1-Jul-40,7/1/40,11/1/41,6/15/42,Scrapped 1960
CL,56,Columbia,New York Shipbuilding,424,"10,000",,12-Jun-40,19-Aug-40,8/19/40,12/17/41,6/29/42,Scrapped 1960
CV,9,Essex,Newport News Shipbuilding,392,"27,100",,3-Jul-40,28-Apr-41,4/28/41,7/31/42,12/31/42,Scrapped 1975
CL,57,Montpelier,New York Shipbuilding,425,"10,000",,23-Mar-40,2-Dec-40,12/2/40,2/12/42,9/9/42,Scrapped 1960
CA,68,Baltimore,Bethlehem Quincy,1494,"13,600",,1-Jul-40,26-May-41,5/26/41,7/28/42,4/15/43,Scrapped 1972
CL,58,Denver,New York Shipbuilding,426,"10,000",,12-Jun-40,26-Dec-40,12/26/40,4/4/42,10/15/42,Scrapped 1960
CL,59,Amsterdam,New York Shipbuilding,427,"10,000",,,1-May-41,5/1/41,8/22/42,1/14/43,"Renamed Independence (CVL 22), sunk as target 1971"
CA,69,Boston,Bethlehem Quincy,1495,"13,600",,1-Jul-40,30-Jun-41,6/30/41,8/26/42,6/30/43,"Converted to CAG 1 1955, scrapped 1975"
CL,60,Santa Fe,New York Shipbuilding,428,"10,000",,1-Jul-40,7-Jun-41,6/7/41,6/10/42,11/24/42,Scrapped 1960
CL,61,Tallahassee,New York Shipbuilding,429,"10,000",,,2-Jun-41,6/2/41,10/18/42,2/25/43,"Renamed Princeton (CVL 23), sunk in Leyte Gulf 1944"
CV,16,Lexington,Bethlehem Quincy,1508,"27,100",,9-Sep-40,15-Jul-41,7/15/41,9/26/42,2/17/43,Memorial in Corpus Christi TX 1992
CL,62,Birmingham,Newport News Shipbuilding,390,"10,000",,3-Jul-40,17-Feb-41,2/17/41,3/20/42,1/29/43,Scrapped 1959
CL,63,Mobile,Newport News Shipbuilding,391,"10,000",,3-Jul-40,14-Apr-41,4/14/41,5/15/42,3/24/43,Scrapped 1960
CL,64,Vincennes,Bethlehem Quincy,1498,"10,000",,1-Jul-40,7-Mar-42,3/7/42,7/17/43,1/21/44,Sunk as target 1969
CL,65,Pasadena,Bethlehem Quincy,1499,"10,000",,1-Jul-40,6-Feb-43,2/6/43,12/28/43,6/8/44,Scrapped 1972
CA,70,Canberra,Bethlehem Quincy,1496,"13,600",,1-Jul-40,3-Sep-41,9/3/41,4/19/43,10/14/43,"Converted to CAG 2 1956, scrapped 1980"
CL,66,Springfield,Bethlehem Quincy,1500,"10,000",,1-Jul-40,13-Feb-43,2/13/43,3/9/44,9/8/44,"Converted to CLG 7 1960, scrapped 1978"
CV,17,Bunker Hill,Bethlehem Quincy,1509,"27,100",,9-Sep-40,15-Sep-41,9/15/41,12/7/42,5/24/43,Scrapped 1973
CA,71,St. Paul/Quincy,Bethlehem Quincy,1497,"13,600",,9-Sep-40,9-Oct-41,10/9/41,6/23/43,12/15/43,Scrapped 1974
CL,67,Topeka,Bethlehem Quincy,1501,"10,000",,1-Jul-40,21-Apr-43,4/21/43,8/19/44,12/23/44,"Converted to CLG 8 1960, scrapped 1979"
CV,10,Yorktown,Newport News Shipbuilding,393,"27,100",,3-Jul-40,1-Dec-41,12/1/41,1/21/43,4/15/43,Memorial in Mount Pleasant SC 1973
CV,11,Intrepid,Newport News Shipbuilding,394,"27,100",,3-Jul-40,1-Dec-41,12/1/41,4/26/43,8/16/43,Memorial in New York NY 1982
CL,76,New Haven,New York Shipbuilding,431,"13,600",,9-Sep-40,11-Aug-41,8/11/41,12/6/42,3/31/43,"Belleau Wood (CVL 24), to France as Bois Belleau (R 97), scrapped 1960"
CL,77,Huntington,New York Shipbuilding,432,"13,600",,9-Sep-40,17-Nov-41,11/17/41,1/17/43,5/28/43,"Cowpens (CVL 25), scrapped 1960"
CL,78,Dayton,New York Shipbuilding,433,"13,600",,9-Sep-40,29-Dec-41,12/29/41,2/28/43,6/17/43,"Monterey (CVL 26), scrapped 1971"
CL,79,Wilmington,New York Shipbuilding,434,"13,600",,9-Sep-40,16-Aug-42,8/16/42,4/4/43,7/24/43,"Cabot (CVL 28), to Spain 1967 as Dedalo (R 01), scrapped 2003"
CV,18,Wasp,Bethlehem Quincy,1510,"27,100",,9-Sep-40,18-Mar-42,3/18/42,8/17/43,11/24/43,Scrapped 1973
CL,80,Biloxi,Newport News Shipbuilding,399,"10,000",,9-Sep-40,9-Jul-41,7/9/41,2/23/43,8/31/43,Scrapped 1962
CV,12,Hornet,Newport News Shipbuilding,395,"27,100",,3-Jul-40,3-Aug-42,8/3/42,8/30/43,11/29/43,Memorial in Alameda CA 1989
CL,81,Houston,Newport News Shipbuilding,400,"10,000",,9-Sep-40,4-Aug-41,8/4/41,6/19/43,12/20/43,Scrapped 1960
CL,82,Providence,Bethlehem Quincy,1502,"10,000",,9-Sep-40,27-Jul-43,7/27/43,12/28/44,5/15/45,"Converted to CLG 6 1959, scrapped 1978"
CL,83,Manchester,Bethlehem Quincy,1503,"10,000",,9-Sep-40,25-Apr-44,4/25/44,3/5/46,10/29/46,Scrapped 1960
CL,84,Buffalo,Federal Shipbuilding,,"10,000",,9-Sep-40,,,,,Cancelled 1940
CV,13,Franklin,Newport News Shipbuilding,396,"27,100",,3-Jul-40,7-Dec-42,12/7/42,10/14/43,1/31/44,Scrapped 1966
CL,85,Fargo,New York Shipbuilding,443,"10,000",,9-Sep-40,11-Apr-42,4/11/42,5/22/43,8/31/43,"Langley (CVL 27), to France 1951 as Lafayette (R 96), scrapped 1964"
CL,86,Vicksburg,Newport News Shipbuilding,411,"10,000",,9-Sep-40,26-Oct-42,10/26/42,12/14/43,6/12/44,Scrapped 1964
CV,19,Hancock,Bethlehem Quincy,1511,"27,100",,9-Sep-40,26-Jan-43,1/26/43,1/24/44,4/15/44,Scrapped 1976
CV,14,Ticonderoga,Newport News Shipbuilding,397,"27,100",,3-Jul-40,1-Feb-43,2/1/43,2/7/44,5/8/44,Scrapped 1974
CA,72,Albany/Pittsburgh,Bethlehem Quincy,1504,"13,600",,9-Sep-40,3-Feb-43,2/3/43,2/22/44,10/9/44,Scrapped 1974
CA,73,Rochester/St. Paul,Bethlehem Quincy,1505,"13,600",,9-Sep-40,3-Feb-43,2/3/43,9/16/44,2/16/45,Scrapped 1980
CL,87,Duluth,Newport News Shipbuilding,412,"10,000",,9-Sep-40,9-Nov-42,11/9/42,1/13/44,9/18/44,Scrapped 1960
CL,88,Newark,Federal Shipbuilding,,"10,000",,9-Sep-40,,,,,Cancelled 1940
CL,89,Miami,Cramp SB,532,"10,000",,29-Oct-40,2-Aug-41,8/2/41,8/12/42,12/28/43,Scrapped 1962
CL,90,Astoria,Cramp SB,533,"10,000",,29-Oct-40,6-Sep-41,9/6/41,3/6/43,5/17/44,Scrapped 1971
CV,15,Randolph,Newport News Shipbuilding,398,"27,100",,3-Jul-40,10-May-43,5/10/43,9/29/44,10/9/44,Scrapped 1975
CA,74,Columbus,Bethlehem Quincy,1506,"13,600",,9-Sep-40,28-Jun-43,6/28/43,11/30/44,6/8/45,"Converted to CG 12 1962, scrapped 1976"
CL,91,Oklahoma City,Cramp SB,534,"10,000",,29-Oct-40,8-Dec-42,12/8/42,2/20/44,12/22/44,"Converted to CLG 5 1960, sunk as target 1999"
CA,75,Des Moines/Helena,Bethlehem Quincy,1507,"13,600",,9-Sep-40,9-Sep-43,9/9/43,4/28/45,9/3/45,Scrapped 1974
CL,92,Little Rock,Cramp SB,535,"10,000",,29-Oct-40,6-Mar-43,3/6/43,8/27/44,6/17/45,"Converted to CLG 4 1960, memorial in Buffalo NY 1977"
CL,93,Galveston,Cramp SB,536,"10,000",,29-Oct-40,20-Feb-44,2/20/44,4/22/45,5/25/46,"Converted to CLG 3 1958, scrapped 1975"
CL,94,Youngstown,Cramp SB,537,"10,000",,29-Oct-40,4-Sep-44,9/4/44,,,Cancelled 1945
CL,95,Oakland,Bethlehem San Francisco,5386,"6,000",,9-Sep-40,13-Jul-41,7/13/41,10/23/42,7/17/43,Scrapped 1959
CL,96,Reno,Bethlehem San Francisco,5387,"6,000",,9-Sep-40,12-Aug-41,8/12/41,12/23/42,12/28/43,Scrapped 1962
CL,97,Flint,Bethlehem San Francisco,5388,"6,000",,9-Sep-40,23-Oct-42,10/23/42,1/25/44,8/31/44,Scrapped 1966
CL,98,Tucson,Bethlehem San Francisco,5389,"6,000",,9-Sep-40,23-Dec-42,12/23/42,9/3/44,2/3/45,Scrapped 1971